ID,s206_cl_dispensed,s208_dispprob,s209_dispprob_cas_padlk,s210_dispprob_tnk_vlv,s211_dispprob_stker_tag_paint,s212_nut,month,year,s009_country,s011_prgrm
,Yes,No,,,,,1,2012,2,MFW
,Yes,No,,,,,1,2012,2,MFW
,Yes,No,,,,,1,2012,2,MFW
,Yes,No,,,,,1,2012,2,MFW
,Yes,No,,,,,1,2014,2,MFW
,Yes,No,,,,,1,2014,2,MFW
,Yes,No,,,,,1,2012,2,MFW
,Yes,No,,,,,1,2012,2,MFW
,Yes,No,,,,,1,2012,2,MFW
,Yes,No,,,,,1,2012,2,MFW
,Yes,No,,,,,1,2012,2,MFW
,Yes,No,,,,,1,2014,2,MFW
,Yes,No,,,,,1,2012,2,MFW
,Yes,No,,,,,1,2012,2,MFW
,Yes,No,,,,,1,2012,2,MFW
,Yes,No,,,,,1,2012,2,MFW
,Yes,No,,,,,1,2012,2,MFW
,Yes,No,,,,,1,2012,2,MFW
,Yes,No,,,,,1,2012,2,MFW
,Yes,No,,,,,1,2012,2,MFW
,Yes,No,,,,,1,2012,2,MFW
,Yes,No,,,,,1,2012,2,MFW
,Yes,No,,,,,1,2012,2,MFW
,Yes,No,,,,,1,2012,2,MFW
,Yes,No,,,,,1,2012,2,MFW
,Yes,No,,,,,1,2012,2,MFW
,Yes,No,,,,,1,2012,2,MFW
,Yes,No,,,,,1,2012,2,MFW
,Yes,No,,,,,1,2012,2,MFW
,Yes,No,,,,,1,2012,2,MFW
,Yes,No,,,,,1,2012,2,MFW
,Yes,No,,,,,1,2012,2,MFW
,Yes,No,,,,,1,2012,2,MFW
,Yes,No,,,,,1,2012,2,MFW
,Yes,No,,,,,1,2012,2,MFW
,Yes,No,,,,,1,2012,2,MFW
,Yes,No,,,,,1,2012,2,MFW
,Yes,No,,,,,2,2016,2,TRR
,Yes,No,,,,,1,2012,2,NTB
,Yes,No,,,,,11,2012,2,NTB
,.s,.s,,,,,2,2014,2,MFW
,Yes,No,,,,,1,2014,2,MFW
,Yes,No,,,,,1,2014,2,MBL
,Yes,No,,,,,1,2014,2,MBL
,Yes,No,,,,,1,2014,2,MFW
,.s,No,,,,,1,2014,2,MFW
,Yes,No,,,,,1,2014,2,MBL
,Yes,No,,,,,1,2014,2,MBL
,Yes,No,,,,,1,2014,2,MFW
,.s,.s,,,,,1,2014,2,MFW
,Yes,No,,,,,1,2014,2,MFW
,Yes,No,,,,,1,2014,2,MBL
,Yes,No,,,,,1,2014,2,MBL
,Yes,No,,,,,1,2014,2,MBL
,Yes,No,,,,,1,2014,2,MFW
,Yes,No,,,,,1,2014,2,MFW
,Yes,No,,,,,1,2014,2,MFW
,Yes,No,,,,,1,2014,2,MFW
,Yes,No,,,,,1,2014,2,MFW
,Yes,No,,,,,1,2014,2,MFW
,Yes,No,,,,,1,2014,2,MFW
,Yes,No,,,,,1,2014,2,MFW
,Yes,No,,,,,1,2014,2,MFW
,Yes,No,,,,,1,2014,2,MFW
,Yes,No,,,,,1,2014,2,MFW
,Yes,No,,,,,1,2014,2,MFW
,Yes,No,,,,,1,2014,2,MFW
,Yes,No,,,,,1,2014,2,MFW
,Yes,No,,,,,1,2014,2,MFW
,Yes,No,,,,,1,2014,2,MFW
,Yes,No,,,,,1,2014,2,MFW
,Yes,No,,,,,1,2014,2,MFW
,Yes,No,,,,,1,2014,2,MFW
,Yes,No,,,,,1,2014,2,MFW
,Yes,No,,,,,1,2014,2,MFW
,Yes,No,,,,,1,2014,2,MFW
,Yes,No,,,,,1,2014,2,MFW
,Yes,No,,,,,1,2014,2,MFW
,Yes,No,,,,,1,2014,2,MFW
,Yes,No,,,,,1,2014,2,MFW
,Yes,No,,,,,1,2014,2,MFW
,Yes,No,,,,,1,2014,2,MFW
,Yes,No,,,,,1,2014,2,MFW
,Yes,No,,,,,1,2014,2,MFW
,Yes,No,,,,,1,2014,2,MFW
,Yes,No,,,,,1,2014,2,MFW
,Yes,No,,,,,1,2014,2,MFW
,.s,No,,,,,1,2014,2,MFW
,Yes,No,,,,,1,2014,2,MFW
,Yes,No,,,,,1,2014,2,MFW
,Yes,No,,,,,1,2014,2,MFW
,Yes,No,,,,,1,2014,2,MFW
,.s,.s,,,,,1,2014,2,MFW
,.s,.s,,,,,1,2014,2,MFW
,.s,.s,,,,,1,2014,2,MFW
,.s,.s,,,,,10,2015,2,MFW
