ID,s206_cl_dispensed,s208_dispprob,s209_dispprob_cas_padlk,s210_dispprob_tnk_vlv,s211_dispprob_stker_tag_paint,s212_nut,month,year,s009_country,s011_prgrm
,1,0,,,,,11,2012,2,Namutumba
,,,,,,,3,2013,2,Manafwa
,1,0,,,,,10,2013,2,Manafwa
,,,,,,,1,2014,2,Manafwa
,,,,,,,1,2014,2,Manafwa
,,,,,,,1,2014,2,Manafwa
,,,,,,,1,2014,2,Manafwa
,,,,,,,1,2014,2,Manafwa
,,,,,,,1,2014,2,Manafwa
,,,,,,,1,2014,2,Manafwa
,,,,,,,1,2014,2,Manafwa
,,,,,,,1,2014,2,Manafwa
,,,,,,,1,2014,2,Manafwa
,,,,,,,1,2014,2,Manafwa
,,,,,,,1,2014,2,Manafwa
,,,,,,,1,2014,2,Manafwa
,,,,,,,1,2014,2,Manafwa
,,,,,,,1,2014,2,Manafwa
,,,,,,,1,2014,2,Manafwa
,,,,,,,1,2014,2,Manafwa
,,,,,,,1,2014,2,Manafwa
,,,,,,,1,2014,2,Manafwa
,,,,,,,1,2014,2,Manafwa
,,,,,,,1,2014,2,Manafwa
,,,,,,,1,2014,2,Manafwa
,,,,,,,1,2014,2,Manafwa
,,,,,,,1,2014,2,Manafwa
,,,,,,,1,2014,2,Manafwa
,,,,,,,1,2014,2,Manafwa
,,,,,,,1,2014,2,Manafwa
,,,,,,,1,2014,2,Manafwa
,,,,,,,1,2014,2,Manafwa
,,,,,,,1,2014,2,Manafwa
,,,,,,,1,2014,2,Manafwa
,,,,,,,1,2014,2,Manafwa
,,,,,,,1,2014,2,Manafwa
,,,,,,,1,2014,2,Manafwa
,,,,,,,1,2014,2,Manafwa
,,,,,,,1,2014,2,Manafwa
,,,,,,,1,2014,2,Manafwa
,,,,,,,1,2014,2,Manafwa
,,,,,,,1,2014,2,Manafwa
,,,,,,,1,2014,2,Manafwa
,,,,,,,1,2014,2,Manafwa
,,,,,,,1,2014,2,Manafwa
,,,,,,,1,2014,2,Manafwa
,,,,,,,1,2014,2,Manafwa
,,,,,,,1,2014,2,Manafwa
,,,,,,,1,2014,2,Manafwa
,,,,,,,1,2014,2,Manafwa
,,,,,,,1,2014,2,Manafwa
,,,,,,,1,2014,2,Manafwa
,,,,,,,1,2014,2,Manafwa
,,,,,,,1,2014,2,Manafwa
,,,,,,,1,2014,2,Manafwa
,,,,,,,1,2014,2,Manafwa
,,,,,,,1,2014,2,Manafwa
,,,,,,,1,2014,2,Manafwa
,,,,,,,1,2014,2,Manafwa
,,,,,,,1,2014,2,Manafwa
,,,,,,,1,2014,2,Manafwa
,,,,,,,1,2014,2,Manafwa
,,,,,,,1,2014,2,Manafwa
,,,,,,,1,2014,2,Manafwa
,,,,,,,1,2014,2,Manafwa
,,,,,,,1,2014,2,Manafwa
,,,,,,,1,2014,2,Manafwa
,,,,,,,1,2014,2,Manafwa
,,,,,,,1,2014,2,Manafwa
,,,,,,,1,2014,2,Manafwa
,,,,,,,2,2014,2,Manafwa
,,,,,,,2,2014,2,Manafwa
,,,,,,,2,2014,2,Manafwa
,,,,,,,2,2014,2,Manafwa
,,,,,,,2,2014,2,Manafwa
,,,,,,,2,2014,2,Manafwa
,1,0,,,,,2,2014,2,Manafwa
,,,,,,,2,2014,2,Manafwa
,,,,,,,2,2014,2,Manafwa
,,,,,,,2,2014,2,Manafwa
,,,,,,,2,2014,2,Manafwa
,,,,,,,2,2014,2,Manafwa
,,,,,,,2,2014,2,Manafwa
,,,,,,,2,2014,2,Manafwa
,,,,,,,2,2014,2,Manafwa
,,,,,,,2,2014,2,Manafwa
,,,,,,,2,2014,2,Manafwa
,,,,,,,2,2014,2,Manafwa
,,,,,,,2,2014,2,Manafwa
,,,,,,,2,2014,2,Manafwa
,,,,,,,2,2014,2,Manafwa
,,,,,,,2,2014,2,Manafwa
,,,,,,,2,2014,2,Manafwa
,,,,,,,2,2014,2,Manafwa
,,,,,,,2,2014,2,Manafwa
,,,,,,,2,2014,2,Manafwa
,,,,,,,2,2014,2,Manafwa
,,,,,,,2,2014,2,Manafwa
,,,,,,,2,2014,2,Manafwa
,,,,,,,2,2014,2,Manafwa
,,,,,,,2,2014,2,Manafwa
,,,,,,,2,2014,2,Manafwa
,,,,,,,2,2014,2,Manafwa
,,,,,,,2,2014,2,Manafwa
,,,,,,,2,2014,2,Manafwa
,,,,,,,2,2014,2,Manafwa
,,,,,,,2,2014,2,Manafwa
,,,,,,,2,2014,2,Manafwa
,,,,,,,2,2014,2,Manafwa
,,,,,,,2,2014,2,Manafwa
,,,,,,,2,2014,2,Manafwa
,,,,,,,2,2014,2,Manafwa
,,,,,,,2,2014,2,Manafwa
,,,,,,,3,2014,2,Manafwa
,,,,,,,3,2014,2,Manafwa
,,,,,,,3,2014,2,Manafwa
