id,program,i102_wpt_id,total_chl_used,total_period_day,total_period_30day,avrg_30day_usage,avrg_30day_usage_litres,num_of_Deliveries,Jerrican_delivered,date_of_first_delivery,date_of_last_delivery,month,year,country
,Zomba 1,8010003,25.5,580,19.33333,1.318965,6.594827,10,34,17-Sep-15,30may2017,5,2017,3
,Zomba 1,8010005,62.5,569,18.96667,3.295255,16.47627,19,75,15-Feb-16,18-Aug-17,8,2017,3
,Zomba 1,8010007,23,509,16.96667,1.355599,6.777996,9,31,25-Feb-16,05-Jul-17,7,2017,3
,Zomba 1,8010008,38,497,16.56667,2.293762,11.46881,13,50,24-Feb-16,09-Jun-17,6,2017,3
,Zomba 1,8010009,19,691,23.03333,0.8248915,4.124457,8,25,20-Sep-15,02-Aug-17,8,2017,3
,Zomba 1,8010010,51,635,21.16667,2.409449,12.04724,14,55,18-Sep-15,14-Jun-17,6,2017,3
,Zomba 1,8010012,25,573,19.1,1.3089,6.544502,8,33,09-Feb-16,23-Aug-17,8,2017,3
,Zomba 1,8010014,37,630,21,1.761905,8.809524,11,41,22-Sep-15,13-Jun-17,6,2017,3
,Zomba 1,8010018,46,627,20.9,2.200957,11.00479,16,50,15dec2015,23-Aug-17,8,2017,3
,Zomba 1,8010019,69,713,23.76667,2.903226,14.51613,23,85,17-Sep-15,21-Aug-17,8,2017,3
,Zomba 1,8010023,37,671,22.36667,1.654247,8.271237,17,63,26-Sep-15,16-Jun-17,6,2017,3
,Zomba 1,8010025,46,516,17.2,2.674418,13.37209,13,50,17-Feb-16,17-Jul-17,7,2017,3
,Zomba 2,8010021,16,566,18.86667,0.8480566,4.240283,6,21,02-Feb-16,21-Aug-17,8,2017,3
,Zomba 2,8010035,20,508,16.93333,1.181102,5.905512,8,28,11mar2016,01-Aug-17,8,2017,3
,Zomba 2,8010041,32,511,17.03333,1.878669,9.393347,11,36,15-Feb-16,10-Jul-17,7,2017,3
,Zomba 2,8010044,10,491,16.36667,0.610998,3.05499,4,14,17mar2016,21-Jul-17,7,2017,3
,Zomba 2,8010046,43,617,20.56667,2.090762,10.45381,21,65,08-Feb-16,24-Aug-17,8,2017,3
,Zomba 2,8010047,67,699,23.3,2.875537,14.37768,26,95,15-Sep-15,12-Jun-17,6,2017,3
,Zomba 2,8010048,55,727,24.23333,2.269601,11.34801,22,83,29-Sep-15,04-Aug-17,8,2017,3
,Zomba 2,8010049,12,404,13.46667,0.8910891,4.455446,3,16,30-Jun-16,08-Aug-17,8,2017,3
,Zomba 2,8010051,50.5,674,22.46667,2.247774,11.23887,16,64,28-Sep-15,02-Jun-17,6,2017,3
,Zomba 2,8010052,29.5,675,22.5,1.311111,6.555555,9,33,01-Sep-15,07-Jul-17,7,2017,3
,Zomba 2,8010053,11.5,423,14.1,0.8156028,4.078014,6,24,23-Jun-16,21-Jul-17,7,2017,3
,Zomba 2,8010055,10,537,17.9,0.5586593,2.793296,4,14,22-Jan-16,12-Jul-17,7,2017,3
,Zomba 2,8010056,98.5,802,26.73333,3.684539,18.42269,50,175.5,09oct2015,14-Aug-17,8,2017,3
,Zomba 2,8010057,90.5,741,24.7,3.663968,18.31984,48,157.5,15-Sep-15,13may2017,5,2017,3
,Zomba 2,8010058,69,599,19.96667,3.45576,17.2788,32,110,06-Feb-16,26-Jul-17,7,2017,3
,Zomba 2,8010059,75,656,21.86667,3.429878,17.14939,36,118,07-Feb-16,11-Aug-17,8,2017,3
,Zomba 2,8010060,45,557,18.56667,2.423698,12.11849,21,69,05-Feb-16,03-Jul-17,7,2017,3
,Zomba 2,8010061,49,552,18.4,2.663043,13.31522,20,72,29-Feb-16,17-Aug-17,8,2017,3
,Zomba 2,8010062,49,703,23.43333,2.091038,10.45519,17,63.5,17-Sep-15,11-Jul-17,7,2017,3
,Zomba 2,8010063,55,611,20.36667,2.700491,13.50245,21,72,07-Feb-16,28-Aug-17,8,2017,3
,Zomba 2,8010064,68,770,25.66667,2.649351,13.24675,23,82,09-Sep-15,22-Aug-17,8,2017,3
,Zomba 2,8010065,68.5,727,24.23333,2.826685,14.13342,26,87,20-Sep-15,14-Aug-17,8,2017,3
,Zomba 2,8010066,22,679,22.63333,0.9720177,4.860088,6,26,21-Sep-15,31-Jul-17,7,2017,3
,Zomba 2,8010067,10,483,16.1,0.621118,3.10559,5,18,04-Feb-16,01-Jun-17,6,2017,3
,Zomba 2,8010068,34,658,21.93333,1.550152,7.75076,10,38,18-Sep-15,07-Jul-17,7,2017,3
,Zomba 2,8010069,13,442,14.73333,0.8823529,4.411765,5,21,15-Feb-16,08may2017,5,2017,3
,Zomba 2,8010070,21,476,15.86667,1.323529,6.617647,8,25,05-Feb-16,26may2017,5,2017,3
,Zomba 2,8010072,37,536,17.86667,2.070895,10.35448,10,41,07mar2016,25-Aug-17,8,2017,3
,Zomba 2,8010073,27,500,16.66667,1.62,8.1,9,35,25-Feb-16,12-Jul-17,7,2017,3
,Zomba 2,8010074,23,494,16.46667,1.396761,6.983805,8,30,23-Feb-16,07-Jul-17,7,2017,3
,Zomba 2,8010075,25,476,15.86667,1.57563,7.878151,8,29,25-Feb-16,15-Jun-17,6,2017,3
,Zomba 2,8010077,24,538,17.93333,1.33829,6.69145,9,32,12-Feb-16,07-Aug-17,8,2017,3
,Zomba 2,8010078,51,571,19.03333,2.67951,13.39755,16,59,04-Feb-16,23-Aug-17,8,2017,3
,Zomba 2,8010079,59,538,17.93333,3.289963,16.44982,15,67,09-Feb-16,20-Jul-17,7,2017,3
,Zomba 2,8010080,34,517,17.23333,1.972921,9.864603,10,40,09-Feb-16,10-Jul-17,7,2017,3
,Zomba 2,8010082,33,556,18.53333,1.780576,8.902878,10,37,04-Feb-16,13-Aug-17,8,2017,3
,Zomba 2,8010083,23,427,14.23333,1.615925,8.079625,7,25,07mar2016,08may2017,5,2017,3
,Zomba 2,8010085,34,544,18.13333,1.875,9.375,11,39,26-Feb-16,23-Aug-17,8,2017,3
,Zomba 2,8010086,55,548,18.26667,3.010949,15.05474,14,65,22-Feb-16,21-Aug-17,8,2017,3
,Zomba 2,8010087,6,382,12.73333,0.4712042,2.356021,3,10,29-Apr-16,16may2017,5,2017,3
,Zomba 2,8010088,18,490,16.33333,1.102041,5.510204,6,22,16mar2016,19-Jul-17,7,2017,3
,Zomba 2,8010089,31,674,22.46667,1.379822,6.899109,9,33,23-Sep-15,28-Jul-17,7,2017,3
,Zomba 2,8010090,70,581,19.36667,3.614458,18.07229,27,99,03mar2016,24-Jul-17,7,2017,3
,Zomba 2,8010091,16,686,22.86667,0.6997085,3.498542,10,21,15-Sep-15,14-Jul-17,7,2017,3
,Zomba 2,8010092,32,484,16.13333,1.983471,9.917356,11,38,09-Feb-16,09may2017,5,2017,3
,Zomba 2,8010093,21,598,19.93333,1.053512,5.267559,7,26,09oct2015,29may2017,5,2017,3
,Zomba 2,8010094,11,488,16.26667,0.6762295,3.381148,7,13,25-Feb-16,27-Jun-17,6,2017,3
,Zomba 2,8010095,29,529,17.63333,1.644612,8.223063,10,33,11-Feb-16,24-Jul-17,7,2017,3
,Zomba 2,8010097,31.5,549,18.3,1.721312,8.606558,10,39,07mar2016,22-Aug-17,8,2017,3
,Zomba 2,8010098,16,421,14.03333,1.140142,5.700712,6,20,28-Jun-16,23-Aug-17,8,2017,3
,Zomba 2,8010099,37,543,18.1,2.044199,10.22099,11,41,26-Feb-16,22-Aug-17,8,2017,3
,Zomba 2,8010101,49,557,18.56667,2.639138,13.19569,16,63,08-Feb-16,23-Aug-17,8,2017,3
,Zomba 2,8010102,27,426,14.2,1.901408,9.507042,10,37,19may2016,10-Jul-17,7,2017,3
,Zomba 2,8010103,39,531,17.7,2.20339,11.01695,11,43,06-Feb-16,21-Jul-17,7,2017,3
,Zomba 3,810014,2,38,1.266667,1.578947,7.894737,3,10,26-Jan-16,04mar2016,3,2016,3
,Zomba 3,8010002,32,434,14.46667,2.211982,11.05991,10,36,15-Feb-16,24-Apr-17,4,2017,3
