ID,cem301_attendees_total,cem011 prgrm,month,year,cem005_today
,51,Manafwa,1,2014,01-Jan-14
,37,Kibuku 2,1,2012,01-Jan-12
,72,Mbale,1,2014,01-Jan-14
,42,Manafwa,1,2014,01-Jan-14
,55,Kibuku 2,1,2012,01-Jan-12
,60,Manafwa,1,2014,02-Jan-14
,22,Manafwa,1,2014,02-Jan-14
,32,Sironko,1,2014,02-Jan-14
,35,Manafwa,1,2014,02-Jan-14
,35,Manafwa,1,2014,02-Jan-14
,63,Manafwa,1,2014,02-Jan-14
,38,Mbale,1,2014,02-Jan-14
,45,Mbale,1,2014,02-Jan-14
,41,Manafwa,1,2014,02-Jan-14
,58,Manafwa,1,2014,02-Jan-14
,35,Sironko,1,2014,02-Jan-14
,23,Kibuku 3,4,2013,21-Apr-13
,33,Kibuku 3,5,2013,17-May-13
,56,Sironko,1,2014,01-Jan-14
,22,Kibuku 4,1,2013,01-Jan-13
,33,Kibuku 4,1,2013,01-Jan-13
,52,Kibuku 3,4,2013,10-Apr-13
,38,Kibuku 3,4,2013,10-Apr-13
,25,Kibuku 3,4,2013,10-Apr-13
,68,Kibuku 3,4,2013,10-Apr-13
,32,Kibuku 3,4,2013,11-Apr-13
,32,Kibuku 3,4,2013,11-Apr-13
,30,Kibuku 3,4,2013,11-Apr-13
,35,Kibuku 3,4,2013,11-Apr-13
,48,Kibuku 3,4,2013,11-Apr-13
,19,Kibuku 3,4,2013,11-Apr-13
,44,Kibuku 3,4,2013,11-Apr-13
,22,Kibuku 3,4,2013,12-Apr-13
,30,Kibuku 3,4,2013,12-Apr-13
,52,Kibuku 3,4,2013,12-Apr-13
,32,Kibuku 3,4,2013,12-Apr-13
,25,Kibuku 3,4,2013,12-Apr-13
,23,Kibuku 1,4,2013,12-Apr-13
,42,Kibuku 3,4,2013,12-Apr-13
,30,Kibuku 3,4,2013,12-Apr-13
,20,Kibuku 1,4,2013,12-Apr-13
,21,Kibuku 3,4,2013,12-Apr-13
,32,Kibuku 3,4,2013,13-Apr-13
,30,Kibuku 3,4,2013,13-Apr-13
,22,Kibuku 3,4,2013,13-Apr-13
,37,Kibuku 3,4,2013,13-Apr-13
,17,Kibuku 3,4,2013,13-Apr-13
,48,Kibuku 3,4,2013,13-Apr-13
,49,Kibuku 3,4,2013,13-Apr-13
,32,Kibuku 3,4,2013,13-Apr-13
,38,Kibuku 3,4,2013,14-Apr-13
,19,Kibuku 3,4,2013,14-Apr-13
,29,Kibuku 3,4,2013,15-Apr-13
,44,Kibuku 3,4,2013,15-Apr-13
,46,Kibuku 3,4,2013,15-Apr-13
,,Kibuku 4,4,2013,16-Apr-13
,23,Kibuku 3,4,2013,16-Apr-13
,28,Kibuku 3,4,2013,16-Apr-13
,26,Kibuku 3,4,2013,16-Apr-13
,37,Kibuku 3,4,2013,16-Apr-13
,39,Kibuku 3,4,2013,16-Apr-13
,35,Kibuku 3,4,2013,16-Apr-13
,26,Kibuku 3,4,2013,16-Apr-13
,21,Kibuku 3,4,2013,16-Apr-13
,33,Kibuku 3,4,2013,16-Apr-13
,19,Kibuku 3,4,2013,17-Apr-13
,20,Kibuku 3,4,2013,17-Apr-13
,54,Kibuku 3,4,2013,17-Apr-13
,22,Kibuku 3,4,2013,17-Apr-13
,21,Kibuku 3,4,2013,17-Apr-13
,44,Kibuku 3,4,2013,17-Apr-13
,29,Kibuku 3,4,2013,17-Apr-13
,,Kibuku 4,4,2013,17-Apr-13
