id,t011_program,t313_wpt_fail,t301b_wpt_flow_rate_slow,t302_landowner_personality,t302a_rep_WSB_talkedto,t302b_rep_WSB_accepted_disp,t310_wpt_drinking_water,t303b_turbitube_100ntu,t303_turbidity_wet,t304_turbidity_dry,t305b_flow_how_many_months,avg_users,t311_wpt_pass,t008_country,t005_today
,Zomba 1,,,,,,1,,3,3,,,1,3,22-Nov-13
,Zomba 1,0,,,,,1,,3,3,,,,3,21-Nov-13
,Zomba 1,,,,,,1,,3,3,,,1,3,22-Nov-13
,Zomba 1,,,,,,1,,3,3,,,1,3,21-Nov-13
,Zomba 1,,,,,,1,,3,3,,,1,3,21-Nov-13
,Zomba 1,,,,,,1,,3,3,,,1,3,21-Nov-13
,Zomba 1,1,,1,,,1,,1,3,,,,3,21-Nov-13
,Zomba 1,,,,,,1,,2,3,,,1,3,22-Nov-13
,Zomba 1,,,,,,1,,3,3,,,0,3,22-Nov-13
,Zomba 1,,,,,,1,,3,3,,,1,3,21-Nov-13
,Zomba 1,,,,,,1,,3,3,,,0,3,22-Nov-13
,Zomba 1,0,,1,,,0,,,,,,,3,21-Nov-13
,Zomba 1,,,,,,1,,3,3,,,1,3,22-Nov-13
,Zomba 1,,,,,,1,,3,3,,,1,3,21-Nov-13
,Zomba 1,,,,,,1,,3,3,,,1,3,21-Nov-13
,Zomba 1,,,,,,1,,3,3,,,1,3,01-Feb-14
,Zomba 1,1,,,,,1,,3,3,,,,3,22-Nov-13
,Zomba 1,,,,,,1,,3,3,,,1,3,22-Nov-13
,Zomba 1,,,,,,1,,3,3,,,1,3,21-Nov-13
,Zomba 1_2,1,,,,,,,,,,,,3,22-Nov-13
,Zomba 1_2,,,,,,1,,3,3,,,1,3,22-Nov-13
,Zomba 1_2,1,,,,,,,,,,,,3,21-Nov-13
,Zomba 1_2,,,,,,1,,3,3,,,1,3,23-Nov-13
,Zomba 1_2,1,,,,,1,,1,1,,,,3,21-Nov-13
,Zomba 1_2,1,,1,,,1,,1,1,,,,3,22-Nov-13
,Zomba 1_2,1,,,,,1,,3,1,,,,3,21-Nov-13
,Zomba 1_2,1,,,,,,,,,,,,3,21-Nov-13
,Zomba 1_2,1,,,,,1,,1,1,,,,3,22-Nov-13
,Zomba 1_2,,,,,,1,,3,3,,,1,3,21-Nov-13
,Zomba 1_2,0,,0,,,,,,,,,,3,21-Nov-13
,Zomba 1_2,,,,,,1,,3,3,,,1,3,21-Nov-13
,Zomba 1_2,1,,,,,,,,,,,,3,21-Nov-13
