id,cem011_prgrm,cem301_attendees_total,month,year,cem009_country
,Busia,17,10,2014,1
,Busia,18,6,2014,1
,Busia,25,1,2015,1
,Busia,16,6,2014,1
,Busia,19,6,2014,1
,Busia,15,12,2014,1
,Busia,51,12,2014,1
,Busia,18,6,2014,1
,Busia,14,6,2014,1
,Busia,12,6,2014,1
,Busia,16,6,2014,1
,Busia,19,6,2014,1
,Busia,12,6,2014,1
,Busia,20,6,2014,1
,Busia,15,6,2014,1
,Busia,19,7,2014,1
,Busia,16,6,2014,1
,Busia,25,6,2014,1
,Busia,10,6,2014,1
,Busia,22,6,2014,1
,Busia,16,6,2014,1
,Busia,24,6,2014,1
,Busia,12,6,2014,1
,Busia,30,1,2015,1
,Busia,15,1,2015,1
,Busia,31,12,2014,1
,Busia,17,6,2014,1
,Busia,19,6,2014,1
,Busia,18,6,2014,1
,Busia,16,12,2014,1
,Busia,16,6,2014,1
,Busia,22,1,2015,1
,Busia,33,2,2015,1
,Kakamega,13,5,2014,1
,Kakamega,14,6,2014,1
,Kakamega,17,1,2015,1
,Kakamega,19,6,2014,1
,Kakamega,25,5,2014,1
,Kakamega,16,5,2014,1
,Kakamega,15,5,2014,1
,Kakamega,6,5,2014,1
,Kakamega,18,6,2014,1
,Kakamega,14,5,2014,1
,Kakamega,7,5,2014,1
,Kakamega,22,5,2014,1
,Kakamega,10,5,2014,1
,Kakamega,20,6,2014,1
,Kakamega,12,5,2014,1
,Kakamega,19,5,2014,1
,Kakamega,22,5,2014,1
,Kakamega,19,5,2014,1
,Kakamega,16,5,2014,1
,Kakamega,15,5,2014,1
,Kakamega,15,5,2014,1
,Kakamega,23,6,2014,1
,Kakamega,10,5,2014,1
,Kakamega,16,5,2014,1
,Kakamega,21,6,2014,1
,Kakamega,16,5,2014,1
,Kakamega,19,5,2014,1
,Kakamega,16,5,2014,1
,Kakamega,19,6,2014,1
,Kakamega,16,5,2014,1
,Kakamega,16,5,2014,1
,Kakamega,16,5,2014,1
,Kakamega,15,5,2014,1
,Kakamega,15,5,2014,1
,Kakamega,14,5,2014,1
,Kakamega,15,5,2014,1
,Kakamega,13,6,2014,1
,Kakamega,15,5,2014,1
,Kakamega,18,5,2014,1
,Kakamega,16,5,2014,1
,Kakamega,15,5,2014,1
,Kakamega,18,5,2014,1
,One Acre Fund,21,7,2013,1
,One Acre Fund,21,7,2013,1
,One Acre Fund,23,7,2013,1
,One Acre Fund,26,7,2013,1
,One Acre Fund,36,7,2013,1
,One Acre Fund,26,7,2013,1
,One Acre Fund,16,7,2013,1
,One Acre Fund,25,7,2013,1
,One Acre Fund,19,7,2013,1
,One Acre Fund,34,7,2013,1
,One Acre Fund,49,7,2013,1
,One Acre Fund,31,7,2013,1
,One Acre Fund,28,7,2013,1
,One Acre Fund,24,7,2013,1
,One Acre Fund,21,5,2013,1
,One Acre Fund,41,7,2013,1
,One Acre Fund,26,7,2013,1
,One Acre Fund,44,7,2013,1
,One Acre Fund,23,7,2013,1
,One Acre Fund,37,7,2013,1
,One Acre Fund,23,7,2013,1
,One Acre Fund,37,7,2013,1
,One Acre Fund,47,7,2013,1
,One Acre Fund,18,7,2013,1
,One Acre Fund,17,7,2013,1
,One Acre Fund,40,7,2013,1
,One Acre Fund,34,7,2013,1
,One Acre Fund,18,7,2013,1
,One Acre Fund,31,7,2013,1
,One Acre Fund,31,7,2013,1
,One Acre Fund,24,7,2013,1
,One Acre Fund,19,7,2013,1
,One Acre Fund,23,7,2013,1
,One Acre Fund,17,7,2013,1
,One Acre Fund,18,7,2013,1
,One Acre Fund,24,7,2013,1
,One Acre Fund,20,6,2013,1
,One Acre Fund,22,6,2013,1
,One Acre Fund,23,6,2013,1
,One Acre Fund,23,6,2013,1
,One Acre Fund,16,6,2013,1
,One Acre Fund,26,6,2013,1
,One Acre Fund,20,6,2013,1
,One Acre Fund,32,6,2013,1
,One Acre Fund,20,6,2013,1
,One Acre Fund,20,6,2013,1
,One Acre Fund,24,6,2013,1
,One Acre Fund,16,6,2013,1
,One Acre Fund,18,6,2013,1
,One Acre Fund,29,6,2013,1
,One Acre Fund,41,6,2013,1
,One Acre Fund,23,6,2013,1
,One Acre Fund,29,6,2013,1
,One Acre Fund,29,6,2013,1
,One Acre Fund,16,6,2013,1
,One Acre Fund,25,7,2013,1
,One Acre Fund,28,7,2013,1
,One Acre Fund,23,7,2013,1
,One Acre Fund,20,7,2013,1
,One Acre Fund,32,7,2013,1
,One Acre Fund,21,7,2013,1
,One Acre Fund,23,7,2013,1
,One Acre Fund,26,7,2013,1
,One Acre Fund,16,7,2013,1
,One Acre Fund,18,7,2013,1
,One Acre Fund,17,7,2013,1
,One Acre Fund,23,7,2013,1
,One Acre Fund,18,7,2013,1
,One Acre Fund,30,7,2013,1
,One Acre Fund,21,7,2013,1
,One Acre Fund,21,7,2013,1
,One Acre Fund,26,7,2013,1
,One Acre Fund,22,7,2013,1
,One Acre Fund,19,7,2013,1
,One Acre Fund,18,7,2013,1
,One Acre Fund,19,7,2013,1
,One Acre Fund,30,7,2013,1
,One Acre Fund,16,7,2013,1
,One Acre Fund,26,7,2013,1
,One Acre Fund,26,7,2013,1
,One Acre Fund,27,7,2013,1
,One Acre Fund,22,7,2013,1
,One Acre Fund,26,7,2013,1
,One Acre Fund,16,7,2013,1
,One Acre Fund,22,7,2013,1
,One Acre Fund,25,7,2013,1
,One Acre Fund,26,6,2013,1
,One Acre Fund,16,6,2013,1
,One Acre Fund,16,6,2013,1
,One Acre Fund,18,6,2013,1
,One Acre Fund,22,6,2013,1
,One Acre Fund,20,6,2013,1
,One Acre Fund,16,5,2013,1
,One Acre Fund,27,5,2013,1
,One Acre Fund,35,6,2013,1
,One Acre Fund,25,6,2013,1
,One Acre Fund,22,6,2013,1
,One Acre Fund,27,6,2013,1
,One Acre Fund,15,7,2013,1
,One Acre Fund,26,6,2013,1
,One Acre Fund,23,7,2013,1
,One Acre Fund,16,7,2013,1
,One Acre Fund,18,7,2013,1
,One Acre Fund,21,7,2013,1
,One Acre Fund,21,7,2013,1
,One Acre Fund,38,7,2013,1
,One Acre Fund,24,7,2013,1
,One Acre Fund,33,7,2013,1
,One Acre Fund,38,7,2013,1
,One Acre Fund,26,7,2013,1
,One Acre Fund,37,7,2013,1
,One Acre Fund,24,7,2013,1
,One Acre Fund,27,7,2013,1
,One Acre Fund,22,7,2013,1
,One Acre Fund,15,7,2013,1
,One Acre Fund,26,7,2013,1
,One Acre Fund,29,7,2013,1
,One Acre Fund,25,7,2013,1
,One Acre Fund,20,7,2013,1
,One Acre Fund,20,7,2013,1
,One Acre Fund,39,7,2013,1
,One Acre Fund,24,7,2013,1
,One Acre Fund,20,7,2013,1
,One Acre Fund,14,8,2013,1
,One Acre Fund,23,9,2013,1
,One Acre Fund,23,7,2013,1
,One Acre Fund,20,7,2013,1
,One Acre Fund,20,7,2013,1
,One Acre Fund,19,7,2013,1
,One Acre Fund,24,7,2013,1
,One Acre Fund,20,7,2013,1
,One Acre Fund,24,7,2013,1
,One Acre Fund,23,7,2013,1
,One Acre Fund,26,7,2013,1
,One Acre Fund,22,7,2013,1
,One Acre Fund,16,7,2013,1
,One Acre Fund,26,7,2013,1
,One Acre Fund,23,6,2013,1
,One Acre Fund,18,6,2013,1
,One Acre Fund,21,6,2013,1
,One Acre Fund,30,6,2013,1
,One Acre Fund,22,6,2013,1
,One Acre Fund,27,6,2013,1
,One Acre Fund,19,6,2013,1
,One Acre Fund,27,5,2013,1
,One Acre Fund,14,5,2013,1
,One Acre Fund,19,5,2013,1
,One Acre Fund,16,5,2013,1
,One Acre Fund,20,5,2013,1
,One Acre Fund,38,5,2013,1
,One Acre Fund,31,5,2013,1
,One Acre Fund,19,5,2013,1
,One Acre Fund,18,5,2013,1
,One Acre Fund,25,5,2013,1
,One Acre Fund,24,5,2013,1
,One Acre Fund,20,5,2013,1
,One Acre Fund,20,5,2013,1
,One Acre Fund,31,5,2013,1
,One Acre Fund,26,5,2013,1
,One Acre Fund,17,5,2013,1
,One Acre Fund,17,5,2013,1
,One Acre Fund,28,5,2013,1
,One Acre Fund,20,5,2013,1
,One Acre Fund,20,5,2013,1
,One Acre Fund,20,5,2013,1
,One Acre Fund,37,5,2013,1
,One Acre Fund,18,5,2013,1
,One Acre Fund,17,5,2013,1
,One Acre Fund,20,6,2013,1
,One Acre Fund,19,5,2013,1
,One Acre Fund,62,7,2013,1
,One Acre Fund,25,7,2013,1
,One Acre Fund,31,7,2013,1
,One Acre Fund,32,7,2013,1
,One Acre Fund,49,7,2013,1
,One Acre Fund,30,7,2013,1
,One Acre Fund,20,7,2013,1
,One Acre Fund,22,7,2013,1
,One Acre Fund,33,7,2013,1
,One Acre Fund,21,7,2013,1
,One Acre Fund,33,7,2013,1
,One Acre Fund,28,7,2013,1
,One Acre Fund,22,7,2013,1
,One Acre Fund,18,7,2013,1
,One Acre Fund,29,7,2013,1
,One Acre Fund,15,5,2013,1
,One Acre Fund,15,5,2013,1
,One Acre Fund,43,5,2013,1
,One Acre Fund,30,5,2013,1
,One Acre Fund,18,5,2013,1
,One Acre Fund,21,5,2013,1
,One Acre Fund,24,5,2013,1
,One Acre Fund,20,5,2013,1
,One Acre Fund,15,6,2013,1
,One Acre Fund,15,5,2013,1
,One Acre Fund,15,5,2013,1
,One Acre Fund,15,5,2013,1
,One Acre Fund,21,5,2013,1
,One Acre Fund,18,5,2013,1
,One Acre Fund,16,5,2013,1
,One Acre Fund,22,5,2013,1
,One Acre Fund,17,5,2013,1
,One Acre Fund,20,5,2013,1
,One Acre Fund,16,5,2013,1
,One Acre Fund,33,7,2013,1
,One Acre Fund,17,7,2013,1
,One Acre Fund,45,7,2013,1
,One Acre Fund,27,7,2013,1
,One Acre Fund,32,5,2013,1
,One Acre Fund,24,5,2013,1
,One Acre Fund,19,5,2013,1
,One Acre Fund,22,6,2013,1
,One Acre Fund,20,5,2013,1
,One Acre Fund,21,5,2013,1
,One Acre Fund,22,5,2013,1
,One Acre Fund,22,5,2013,1
,One Acre Fund,24,5,2013,1
,One Acre Fund,20,5,2013,1
,One Acre Fund,20,5,2013,1
,One Acre Fund,10,5,2013,1
,One Acre Fund,12,5,2013,1
,One Acre Fund,11,5,2013,1
,One Acre Fund,17,5,2013,1
,One Acre Fund,16,5,2013,1
,One Acre Fund,23,7,2013,1
,One Acre Fund,19,6,2013,1
,One Acre Fund,24,6,2013,1
,One Acre Fund,15,6,2013,1
,One Acre Fund,21,6,2013,1
,One Acre Fund,20,6,2013,1
,One Acre Fund,28,6,2013,1
,One Acre Fund,20,5,2013,1
,One Acre Fund,19,5,2013,1
,One Acre Fund,22,5,2013,1
,One Acre Fund,17,5,2013,1
,One Acre Fund,19,5,2013,1
