ID,vcs201_attendees_total,vcs011_prgrm,month,year,vcs009_country
,56,Zomba 2,2,2014,3
,58,Zomba 2,2,2014,3
,47,Zomba 2,2,2014,3
,51,Zomba 2,2,2014,3
,66,Zomba 2,2,2014,3
,100,Zomba 2,3,2014,3
,72,Zomba 2,1,2013,3
,125,Zomba 2,2,2014,3
,70,Zomba 2,2,2014,3
,211,Zomba 2,2,2014,3
,55,Zomba 2,2,2014,3
,56,Zomba 2,2,2014,3
,59,Zomba 2,2,2014,3
,36,Zomba 2,2,2014,3
,54,Zomba 2,2,2014,3
,23,Zomba 2,2,2014,3
,70,Zomba 2,2,2014,3
,65,Zomba 2,2,2014,3
,55,Zomba 2,2,2014,3
,50,Zomba 2,2,2014,3
,68,Zomba 2,2,2014,3
,54,Zomba 2,2,2014,3
,290,Zomba 2,2,2014,3
,128,Zomba 2,1,2013,3
,15,Zomba 2,2,2014,3
,63,Zomba 2,2,2014,3
,32,Zomba 2,2,2014,3
,57,Zomba 2,2,2014,3
,47,Zomba 2,2,2014,3
,51,Zomba 2,2,2014,3
,54,Zomba 2,2,2014,3
,73,Zomba 2,2,2014,3
,43,Zomba 2,2,2014,3
