id,s206_cl_dispensed,s208_dispprob,s209_dispprob_cas_padlk,s210_dispprob_tnk_vlv,s211_dispprob_stker_tag_paint,s212_nut,month_survey,year_survey,s009_country,s011_prgrm
,,0,,,,,1,2013,1,UJA
,,0,,,,,1,2013,1,UJA
,,0,,,,,1,2013,1,UJA
,,0,,,,,1,2013,1,UJA
,,0,,,,,1,2013,1,UJA
,,0,,,,,1,2013,1,UJA
,,0,,,,,1,2013,1,UJA
,,0,,,,,1,2013,1,UJA
,,0,,,,,1,2013,1,UJA
,,0,,,,,1,2013,1,UJA
,,0,,,,,1,2013,1,UJA
,,0,,,,,1,2013,1,UJA
,,0,,,,,1,2013,1,UJA
,,1,,,11,,1,2013,1,UJA
,,0,,,,,1,2013,1,UJA
,,1,,,11,,1,2013,1,UJA
,,1,,,-996,,2,2013,1,UJA
,,0,,,,,2,2013,1,UJA
,,1,,,11,,2,2013,1,UJA
,,1,,,11 12,,2,2013,1,UJA
,,0,,,,,2,2013,1,UJA
,,0,,,,,2,2013,1,UJA
,,0,,,,,2,2013,1,UJA
,,0,,,,,2,2013,1,UJA
,,0,,,,,2,2013,1,UJA
,,0,,,,,2,2013,1,UJA
,,1,,,11,,2,2013,1,UJA
,,1,,,11,,2,2013,1,UJA
,,1,,,5 11,,2,2013,1,UJA
,,0,,,,,2,2013,1,UJA
,,0,,,,,2,2013,1,UJA
,,0,,,,,2,2013,1,UJA
,,0,,,,,2,2013,1,UJA
,,0,,,,,2,2013,1,UJA
,,0,,,,,2,2013,1,UJA
,,0,,,,,2,2013,1,UJA
,,0,,,,,2,2013,1,UJA
,,0,,,,,2,2013,1,UJA
,,0,,,,,2,2013,1,UJA
,,1,,,11,,2,2013,1,UJA
,,0,,,,,2,2013,1,UJA
,,0,,,,,2,2013,1,UJA
,,1,,,11,,2,2013,1,UJA
,,0,,,,,2,2013,1,UJA
,,0,,,,,2,2013,1,UJA
,,1,,,5 9 11,,2,2013,1,UJA
,,0,,,,,2,2013,1,UJA
,,1,,,11,,2,2013,1,UJA
,,1,,,11,,2,2013,1,UJA
,,1,,,11,,2,2013,1,UJA
,,0,,,,,2,2013,1,UJA
,,0,,,,,2,2013,1,UJA
,,0,,,,,2,2013,1,UJA
,,0,,,,,2,2013,1,UJA
,,0,,,,,2,2013,1,UJA
,,0,,,,,2,2013,1,UJA
,,1,,,11,,2,2013,1,UJA
,,0,,,,,2,2013,1,UJA
,,0,,,,,2,2013,1,UJA
,,1,,,-996,,2,2013,1,UJA
,,0,,,,,2,2013,1,UJA
,,0,,,,,2,2013,1,UJA
,,0,,,,,2,2013,1,UJA
,,0,,,,,2,2013,1,UJA
,,1,,,11,,2,2013,1,UJA
,,0,,,,,2,2013,1,UJA
,,0,,,,,2,2013,1,UJA
,,0,,,,,2,2013,1,UJA
,,0,,,,,2,2013,1,UJA
,,1,,,11,,2,2013,1,UJA
,,0,,,,,2,2013,1,UJA
,,1,,,11,,2,2013,1,UJA
,,1,,,11,,2,2013,1,UJA
,,0,,,,,2,2013,1,UJA
,,0,,,,,2,2013,1,UJA
,,0,,,,,2,2013,1,UJA
,,0,,,,,2,2013,1,UJA
,,0,,,,,2,2013,1,UJA
,,1,,,11,,2,2013,1,UJA
,,0,,,,,2,2013,1,UJA
,,0,,,,,2,2013,1,UJA
,,0,,,,,2,2013,1,UJA
,,0,,,,,2,2013,1,UJA
