ID,ssm009_country,ssm011_prgrm,year,month,ssm005_today
,2,Tororo,2015,3,21-Mar-15
,2,Tororo,2015,3,21-Mar-15
,2,Tororo,2015,3,21-Mar-15
,2,Tororo,2015,3,21-Mar-15
,2,Tororo,2015,3,21-Mar-15
,2,Tororo,2015,3,21-Mar-15
,2,Tororo,2015,3,21-Mar-15
,2,Tororo,2015,3,21-Mar-15
,2,Tororo,2015,3,21-Mar-15
,2,Tororo,2015,3,21-Mar-15
,2,Tororo,2015,3,23-Mar-15
,2,Tororo,2015,3,23-Mar-15
,2,Tororo,2015,3,23-Mar-15
,2,Tororo,2015,3,23-Mar-15
,2,Tororo,2015,3,23-Mar-15
,2,Tororo,2015,3,23-Mar-15
,2,Tororo,2015,3,23-Mar-15
,2,Tororo,2015,3,23-Mar-15
,2,Tororo,2015,3,23-Mar-15
,2,Tororo,2015,3,23-Mar-15
,2,Tororo,2015,3,23-Mar-15
,2,Tororo,2015,3,24-Mar-15
,2,Tororo,2015,3,24-Mar-15
,2,Tororo,2015,3,24-Mar-15
,2,Tororo,2015,3,24-Mar-15
,2,Tororo,2015,3,24-Mar-15
,2,Tororo,2015,3,24-Mar-15
,2,Tororo,2015,3,24-Mar-15
,2,Tororo,2015,3,24-Mar-15
,2,Tororo,2015,3,25-Mar-15
,2,Tororo,2015,3,25-Mar-15
,2,Tororo,2015,3,25-Mar-15
,2,Tororo,2015,3,25-Mar-15
,2,Tororo,2015,3,25-Mar-15
,2,Tororo,2015,3,25-Mar-15
,2,Tororo,2015,3,25-Mar-15
,2,Tororo,2015,3,25-Mar-15
,2,Tororo,2015,3,25-Mar-15
,2,Tororo,2015,3,25-Mar-15
,2,Tororo,2015,3,22-Mar-15
,2,Tororo,2015,3,22-Mar-15
,2,Tororo,2015,3,22-Mar-15
,2,Tororo,2015,3,22-Mar-15
,2,Tororo,2015,3,22-Mar-15
,2,Tororo,2015,3,22-Mar-15
,2,Tororo,2015,3,22-Mar-15
,2,Tororo,2015,3,22-Mar-15
,2,Tororo,2015,3,22-Mar-15
,2,Tororo,2015,3,25-Mar-15
,2,Tororo,2015,3,30-Mar-15
,2,SRK1,2014,4,02-Apr-14
,2,SRK1,2014,4,03-Apr-14
,2,Palisa,2015,3,03-Mar-15
,2,Palisa,2015,3,03-Mar-15
,2,Palisa,2015,3,03-Mar-15
,2,Palisa,2015,3,03-Mar-15
,2,Palisa,2015,3,03-Mar-15
,2,Palisa,2015,3,03-Mar-15
,2,Palisa,2015,3,03-Mar-15
,2,Palisa,2015,3,03-Mar-15
,2,Palisa,2015,3,03-Mar-15
,2,Butaleja,2014,11,11-Nov-14
,2,Butaleja,2014,11,11-Nov-14
,2,Butaleja,2014,11,11-Nov-14
,2,Butaleja,2014,11,11-Nov-14
,2,Butaleja,2014,11,11-Nov-14
,2,Butaleja,2014,11,11-Nov-14
,2,Butaleja,2014,11,11-Nov-14
,2,Butaleja,2014,11,11-Nov-14
,2,Butaleja,2014,11,11-Nov-14
,2,Butaleja,2014,11,11-Nov-14
,2,Butaleja,2014,11,11-Nov-14
,2,Butaleja,2014,11,12-Nov-14
,2,Butaleja,2014,11,12-Nov-14
,2,Namutumba,2014,11,16-Nov-14
,2,Namutumba,2014,11,25-Nov-14
,2,Namutumba,2014,11,25-Nov-14
,2,Namutumba,2014,11,25-Nov-14
,2,Namutumba,2014,11,25-Nov-14
,2,Namutumba,2014,11,25-Nov-14
,2,Namutumba,2014,11,25-Nov-14
,2,Namutumba,2014,11,25-Nov-14
,2,Namutumba,2014,11,25-Nov-14
,2,Namutumba,2014,11,25-Nov-14
,2,Namutumba,2014,11,25-Nov-14
,2,Namutumba,2014,11,25-Nov-14
,2,Namutumba,2014,11,24-Nov-14
,2,Namutumba,2014,11,24-Nov-14
,2,Namutumba,2014,11,24-Nov-14
,2,Namutumba,2014,11,24-Nov-14
,2,Namutumba,2014,11,24-Nov-14
,2,Namutumba,2014,11,25-Nov-14
,2,Namutumba,2014,11,25-Nov-14
,2,Namutumba,2014,11,25-Nov-14
,2,Namutumba,2014,11,25-Nov-14
,2,Namutumba,2014,11,25-Nov-14
,2,Namutumba,2014,12,01-Dec-14
,2,MBL1,2014,5,06-May-14
,2,MBL1,2014,5,06-May-14
,2,MBL1,2014,5,06-May-14
,2,MBL1,2014,5,06-May-14
,2,MBL1,2014,5,06-May-14
,2,MBL1,2014,5,06-May-14
,2,MBL1,2014,5,06-May-14
,2,Busia,2015,3,02-Mar-15
,2,Busia,2015,3,02-Mar-15
,2,Busia,2015,3,02-Mar-15
,2,Busia,2015,3,02-Mar-15
,2,Busia,2015,3,02-Mar-15
,2,Busia,2015,3,02-Mar-15
,2,Busia,2015,3,02-Mar-15
,2,Busia,2015,3,02-Mar-15
,2,Busia,2015,3,28-Mar-15
,2,Busia,2015,3,28-Mar-15
,2,Busia,2015,3,28-Mar-15
,2,Busia,2015,3,28-Mar-15
,2,Busia,2015,3,28-Mar-15
,2,Busia,2015,3,03-Mar-15
,2,Busia,2015,3,03-Mar-15
,2,Busia,2015,3,03-Mar-15
,2,Busia,2015,3,03-Mar-15
,2,Busia,2015,3,03-Mar-15
,2,Busia,2015,3,03-Mar-15
,2,Busia,2015,3,03-Mar-15
,2,Busia,2015,3,03-Mar-15
,2,Busia,2015,3,02-Mar-15
,2,Busia,2015,3,03-Mar-15
,2,Busia,2015,3,03-Mar-15
,2,Busia,2015,3,02-Mar-15
,2,Busia,2015,3,02-Mar-15
,2,Busia,2015,3,02-Mar-15
,2,Busia,2015,3,02-Mar-15
,2,Busia,2015,3,02-Mar-15
,2,Busia,2015,3,02-Mar-15
,2,Busia,2015,3,02-Mar-15
,2,Busia,2015,3,02-Mar-15
,2,Busia,2015,3,02-Mar-15
,2,Busia,2015,3,02-Mar-15
,2,Busia,2015,3,04-Mar-15
,2,Busia,2015,3,04-Mar-15
,2,Busia,2015,3,04-Mar-15
,2,Busia,2015,3,04-Mar-15
,2,Busia,2015,3,04-Mar-15
,2,Busia,2015,3,04-Mar-15
,2,Busia,2015,3,04-Mar-15
,2,Bugiri,2015,3,03-Mar-15
,2,Bugiri,2015,3,03-Mar-15
,2,Bugiri,2015,3,03-Mar-15
,2,Bugiri,2015,3,03-Mar-15
,2,Bugiri,2015,3,03-Mar-15
,2,Bugiri,2015,3,03-Mar-15
,2,Bugiri,2015,3,03-Mar-15
,2,Bugiri,2015,3,03-Mar-15
,2,Bugiri,2015,3,03-Mar-15
,2,Bugiri,2015,3,03-Mar-15
,2,Bugiri,2015,3,03-Mar-15
,2,Bugiri,2015,3,03-Mar-15
,2,Bugiri,2015,3,03-Mar-15
