id,cem301_attendees_total,program,month,year,country,cem005_today
,80,Zomba 6,1,2013,3,01-Jan-13
,65,Zomba 5,1,2013,3,01-Jan-13
,12,Zomba 6,1,2013,3,01-Jan-13
,32,Zomba 4,1,2013,3,01-Jan-13
,39,Zomba 3,1,2013,3,01-Jan-13
,51,Zomba 3,1,2013,3,01-Jan-13
,110,Zomba 6,1,2013,3,01-Jan-13
,24,Zomba 1,1,2013,3,01-Jan-13
,110,Zomba 6,1,2013,3,01-Jan-13
,10,Zomba 6,1,2013,3,01-Jan-13
,42,Zomba 6,1,2013,3,01-Jan-13
,25,Zomba 6,1,2013,3,01-Jan-13
,110,Zomba 6,1,2013,3,01-Jan-13
,368,Zomba 4,1,2013,3,01-Jan-13
,45,Zomba 5,1,2013,3,02-Jan-13
,28,Zomba 5,1,2013,3,02-Jan-13
,7,Zomba 6,1,2013,3,02-Jan-13
,28,Zomba 4,1,2013,3,02-Jan-13
,39,Zomba 5,1,2013,3,02-Jan-13
,24,Zomba 4,1,2013,3,02-Jan-13
,8,Zomba 6,1,2013,3,02-Jan-13
,41,Zomba 4,1,2013,3,02-Jan-13
,50,Zomba 5,1,2013,3,02-Jan-13
,25,Zomba 4,1,2013,3,03-Jan-13
,347,Zomba 4,1,2013,3,03-Jan-13
,50,Zomba 4,1,2013,3,03-Jan-13
,10,Zomba 6,1,2013,3,03-Jan-13
,25,Zomba 5,1,2013,3,03-Jan-13
,15,Zomba 6,1,2013,3,04-Jan-13
,31,Zomba 5,1,2013,3,04-Jan-13
,29,Zomba 4,1,2013,3,04-Jan-13
,60,Zomba 6,1,2013,3,04-Jan-13
,49,Zomba 4,1,2013,3,04-Jan-13
,31,Zomba 5,1,2013,3,04-Jan-13
,10,Zomba 6,1,2013,3,04-Jan-13
,23,Zomba 6,1,2013,3,04-Jan-13
,60,Zomba 6,1,2013,3,04-Jan-13
,50,Zomba 6,1,2013,3,04-Jan-13
,120,Zomba 6,1,2013,3,04-Jan-13
,80,Zomba 6,1,2013,3,04-Jan-13
,16,Zomba 6,1,2013,3,04-Jan-13
,23,Zomba 4,1,2013,3,04-Jan-13
,50,Zomba 6,1,2013,3,04-Jan-13
,23,Zomba 6,1,2013,3,04-Jan-13
,70,Zomba 4,1,2013,3,05-Jan-13
,20,Zomba 6,1,2013,3,07-Jan-13
,20,Zomba 6,1,2013,3,07-Jan-13
,23,Zomba 6,1,2013,3,07-Jan-13
,80,Zomba 5,1,2013,3,07-Jan-13
,18,Zomba 4,1,2013,3,08-Jan-13
,13,Zomba 4,1,2013,3,09-Jan-13
,28,Zomba 4,1,2013,3,10-Jan-13
,20,Zomba 4,1,2013,3,10-Jan-13
,20,Zomba 4,1,2013,3,10-Jan-13
,20,Zomba 4,1,2013,3,10-Jan-13
,20,Zomba 4,1,2013,3,10-Jan-13
,20,Zomba 4,1,2013,3,10-Jan-13
,28,Zomba 4,1,2013,3,11-Jan-13
,15,Zomba 4,1,2013,3,11-Jan-13
,90,Zomba 6,1,2013,3,15-Jan-13
,60,Zomba 6,1,2013,3,15-Jan-13
,120,Zomba 6,1,2013,3,15-Jan-13
,120,Zomba 6,1,2013,3,15-Jan-13
,110,Zomba 6,1,2013,3,15-Jan-13
,30,Zomba 4,1,2013,3,21-Jan-13
,40,Zomba 4,1,2013,3,25-Jan-13
,35,Zomba 4,1,2013,3,25-Jan-13
,30,Zomba 4,1,2013,3,25-Jan-13
,28,Zomba 4,1,2013,3,25-Jan-13
,35,Zomba 4,1,2013,3,27-Jan-13
,25,Zomba 4,1,2013,3,27-Jan-13
,30,Zomba 4,1,2013,3,27-Jan-13
,25,Zomba 4,1,2013,3,27-Jan-13
,45,Zomba 4,1,2013,3,27-Jan-13
,22,Zomba 4,1,2013,3,27-Jan-13
,30,Zomba 4,1,2013,3,27-Jan-13
,28,Zomba 4,1,2013,3,27-Jan-13
,20,Zomba 4,1,2013,3,27-Jan-13
,150,Zomba 1,12,2013,3,12dec2013
,40,Zomba 1,12,2013,3,16dec2013
,58,Zomba 1,12,2013,3,16dec2013
,37,Zomba 1,12,2013,3,16dec2013
,47,Zomba 1,12,2013,3,17dec2013
,72,Zomba 1,12,2013,3,17dec2013
,53,Zomba 1,12,2013,3,17dec2013
,75,Zomba 1,12,2013,3,18dec2013
,70,Zomba 1,12,2013,3,18dec2013
,45,Zomba 1,12,2013,3,18dec2013
,50,Zomba 1,12,2013,3,18dec2013
,26,Zomba 1,12,2013,3,19dec2013
,30,Zomba 1,12,2013,3,19dec2013
,25,Zomba 1,12,2013,3,19dec2013
,101,Zomba 1,12,2013,3,19dec2013
,35,Zomba 1,12,2013,3,19dec2013
,27,Zomba 1,12,2013,3,19dec2013
,82,Zomba 1,12,2013,3,20dec2013
,78,Zomba 1,12,2013,3,20dec2013
,75,Zomba 1,12,2013,3,20dec2013
,30,Zomba 6,1,2014,3,01-Jan-14
,45,Zomba 6,1,2014,3,07-Jan-14
,16,Zomba 4,3,2014,3,10mar2014
,88,Zomba 1,4,2014,3,02-Apr-14
,98,Zomba 1,4,2014,3,02-Apr-14
,32,Zomba 2,4,2014,3,02-Apr-14
,33,Zomba 1,4,2014,3,02-Apr-14
,41,Zomba 2,4,2014,3,02-Apr-14
,26,Zomba 1,4,2014,3,03-Apr-14
,38,Zomba 1,4,2014,3,03-Apr-14
,42,Zomba 1,4,2014,3,03-Apr-14
,16,Zomba 1,4,2014,3,03-Apr-14
,85,Zomba 1,4,2014,3,04-Apr-14
,35,Zomba 2,4,2014,3,04-Apr-14
,60,Zomba 1,4,2014,3,04-Apr-14
,63,Zomba 1,4,2014,3,04-Apr-14
,64,Zomba 1,4,2014,3,04-Apr-14
,40,Zomba 1,4,2014,3,04-Apr-14
,22,Zomba 1,4,2014,3,05-Apr-14
,80,Zomba 1,4,2014,3,05-Apr-14
,43,Zomba 1,4,2014,3,05-Apr-14
,40,Zomba 2,4,2014,3,05-Apr-14
,56,Zomba 1,4,2014,3,05-Apr-14
,52,Zomba 2,4,2014,3,05-Apr-14
,24,Zomba 2,4,2014,3,05-Apr-14
,32,Zomba 1,4,2014,3,05-Apr-14
,1040,Zomba 1,4,2014,3,05-Apr-14
,40,Zomba 2,4,2014,3,06-Apr-14
,47,Zomba 1,4,2014,3,06-Apr-14
,20,Zomba 2,4,2014,3,07-Apr-14
,47,Zomba 2,4,2014,3,07-Apr-14
,23,Zomba 2,4,2014,3,07-Apr-14
,30,Zomba 2,4,2014,3,07-Apr-14
,63,Zomba 2,4,2014,3,07-Apr-14
,54,Zomba 1,4,2014,3,07-Apr-14
,86,Zomba 1,4,2014,3,08-Apr-14
,33,Zomba 1,4,2014,3,08-Apr-14
,60,Zomba 1,4,2014,3,08-Apr-14
,52,Zomba 2,4,2014,3,08-Apr-14
