ID,program,programID,total_chl_used,total_period_day,total_period_30day,avrg_30day_usage,avrg_30day_usage_litres,num_of_Deliveries,Jerrican_delivered,date_of_first_delivery,date_of_last_delivery,month,year,country
,Busia-KE,10010001,12,494,16.46667,0.7287449,3.643725,5,15,0000-00-00,09/05/2043,11,2017,1
,Busia-KE,10010003,12,411,13.7,0.8759124,4.379562,5,16,0000-00-00,07/05/2043,11,2017,1
,Busia-KE,10010004,20,838,27.93333,0.7159905,3.579952,8,23,0000-00-00,04/07/2043,12,2017,1
,Busia-KE,10010005,15,482,16.06667,0.9336099,4.668049,5,19,0000-00-00,01/01/2043,10,2017,1
,Busia-KE,10010006,4,101,3.366667,1.188119,5.940594,4,12,0000-00-00,02/05/2043,11,2017,1
,Busia-KE,10010007,12,633,21.1,0.5687203,2.843602,5,15,0000-00-00,05/05/2043,11,2017,1
,Busia-KE,10010008,26,857,28.56667,0.9101517,4.550758,9,30,0000-00-00,07/02/2043,10,2017,1
,Busia-KE,10010009,24,800,26.66667,0.9,4.5,8,28,0000-00-00,2043-00-07,9,2017,1
,Busia-KE,10010010,11,516,17.2,0.6395348,3.197674,4,15,0000-00-00,05/02/2043,10,2017,1
,Busia-KE,10010011,18,504,16.8,1.071429,5.357143,6,22,0000-00-00,03/01/2043,10,2017,1
,Busia-KE,10010012,8,562,18.73333,0.4270463,2.135231,4,11,0000-00-00,0000-00-00,9,2017,1
,Busia-KE,10010013,17,910,30.33333,0.5604395,2.802198,7,21,0000-00-00,06/07/2043,12,2017,1
,Busia-KE,10010014,3,109,3.633333,0.8256881,4.12844,2,6,0000-00-00,0000-00-00,7,2017,1
,Busia-KE,10010015,15,490,16.33333,0.9183673,4.591836,6,17,0000-00-00,09/01/2043,10,2017,1
,Busia-KE 2,10020003,2,72,2.4,0.8333333,4.166667,2,5,0000-00-00,01/04/2043,11,2017,1
,Busia-KE,10020004,9,267,8.9,1.011236,5.05618,4,13,0000-00-00,2043-04-00,11,2017,1
,Busia-KE,10020005,4,744,24.8,0.1612903,0.8064517,2,8,0000-00-00,0000-00-00,7,2017,1
,Busia-KE,10020006,4,73,2.433333,1.643836,8.219177,2,7,0000-00-00,01/04/2043,11,2017,1
,Busia-KE,10020008,27,898,29.93333,0.9020045,4.510022,9,30,0000-00-00,03/07/2043,12,2017,1
,Busia-KE,10020010,15,925,30.83333,0.4864865,2.432432,5,19,0000-00-00,04/07/2043,12,2017,1
,Busia-KE,10020011,8,636,21.2,0.3773585,1.886792,3,12,0000-00-00,0000-00-00,2,2017,1
,Busia-KE,10020013,2,72,2.4,0.8333333,4.166667,2,3,0000-00-00,01/04/2043,11,2017,1
,Busia-KE,10020014,11,476,15.86667,0.6932773,3.466387,4,15,0000-00-00,2043-00-07,9,2017,1
,Busia-KE,10020015,9,364,12.13333,0.7417582,3.708791,4,13,0000-00-00,2043-04-00,11,2017,1
,Busia-KE,10020016,26,978,32.6,0.797546,3.98773,9,30,05/09/2042,03/07/2043,12,2017,1
,Busia-KE,10020017,19,858,28.6,0.6643357,3.321678,7,23,0000-00-00,2043-04-00,11,2017,1
,Busia-KE,10020020,4,500,16.66667,0.24,1.2,2,7,0000-00-00,0000-00-00,11,2016,1
,Busia-KE,10020022,7,807,26.9,0.2602231,1.301115,3,11,0000-00-00,01/02/2043,10,2017,1
,Busia-KE,10020023,8,179,5.966667,1.340782,6.703911,3,11,0000-00-00,05/10/2043,1,2018,1
,Busia-KE,10020024,3,196,6.533333,0.4591837,2.295918,2,7,0000-00-00,0000-00-00,8,2017,1
,Busia-KE,10020025,8,775,25.83333,0.3096774,1.548387,3,12,0000-00-00,04/02/2043,10,2017,1
,Busia-KE,10020026,18,710,23.66667,0.7605634,3.802817,7,21,0000-00-00,0000-00-00,5,2017,1
,Busia-KE,10020028,25,929,30.96667,0.8073197,4.036599,8,28,0000-00-00,03/10/2043,1,2018,1
,Busia-KE,10030002,17,556,18.53333,0.9172662,4.586331,6,21,0000-00-00,09/04/2043,11,2017,1
,Busia-KE,10030004,8,266,8.866667,0.9022557,4.511278,3,10,0000-00-00,0000-00-00,7,2017,1
,Busia-KE,10030005,15,853,28.43333,0.5275499,2.637749,6,19,0000-00-00,04/05/2043,11,2017,1
,Busia-KE,10030007,16,479,15.96667,1.002088,5.010438,5,20,0000-00-00,02/05/2043,11,2017,1
,Busia-KE,10030009,18,912,30.4,0.5921053,2.960526,6,22,0000-00-00,08/04/2043,11,2017,1
,Busia-KE,10030010,12,504,16.8,0.7142857,3.571429,5,16,0000-00-00,05/07/2043,12,2017,1
,Busia-KE,10030011,2,72,2.4,0.8333333,4.166667,2,4,0000-00-00,09/04/2043,11,2017,1
,Busia-KE,10030012,16,581,19.36667,0.8261618,4.130809,6,20,0000-00-00,04/07/2043,12,2017,1
,Busia-KE,10030013,11,581,19.36667,0.5679862,2.839931,5,15,0000-00-00,04/07/2043,12,2017,1
,Busia-KE,10030014,14,764,25.46667,0.5497382,2.748691,6,18,0000-00-00,04/07/2043,12,2017,1
,Busia-KE,10030015,11,581,19.36667,0.5679862,2.839931,5,15,0000-00-00,04/07/2043,12,2017,1
,Busia-KE,10030016,12,669,22.3,0.5381166,2.690583,5,15,0000-00-00,09/05/2043,11,2017,1
,Busia-KE,10030017,14,738,24.6,0.5691057,2.845528,6,17,0000-00-00,08/04/2043,11,2017,1
,Busia-KE,10040002,19,811,27.03333,0.702836,3.51418,8,22,0000-00-00,0000-00-00,9,2017,1
,Busia-KE,10050001,8,480,16,0.5,2.5,5,12,0000-00-00,04/01/2043,10,2017,1
,Busia-KE,10050003,2,277,9.233334,0.2166065,1.083032,2,6,0000-00-00,09/05/2043,11,2017,1
,Busia-KE,10050004,15,527,17.56667,0.8538899,4.269449,5,18,0000-00-00,0000-00-00,9,2017,1
,Busia-KE,10050005,12,549,18.3,0.6557378,3.278689,5,16,0000-00-00,0000-00-00,9,2017,1
,Busia-KE,10050006,6,224,7.466667,0.8035714,4.017857,6,10,0000-00-00,09/05/2043,11,2017,1
,Busia-KE,10050007,12,549,18.3,0.6557378,3.278689,5,15,0000-00-00,0000-00-00,9,2017,1
,Busia-KE,10050008,8,394,13.13333,0.6091371,3.045685,4,12,0000-00-00,0000-00-00,7,2017,1
,Busia-KE,10050009,9,381,12.7,0.7086614,3.543307,4,13,0000-00-00,0000-00-00,6,2017,1
,Busia-KE,10050010,9,265,8.833333,1.018868,5.09434,4,13,0000-00-00,0000-00-00,7,2017,1
,Kakamega,10050011,11,264,8.8,1.25,6.25,4,15,0000-00-00,0000-00-00,7,2017,1
,Busia-KE,10050012,8,265,8.833333,0.9056604,4.528302,4,10,0000-00-00,0000-00-00,7,2017,1
,Busia-KE,10050013,8,271,9.033334,0.8856088,4.428044,4,12,0000-00-00,0000-00-00,7,2017,1
,Busia-KE,10050014,17,392,13.06667,1.30102,6.505102,6,21,0000-00-00,0000-00-00,7,2017,1
,Busia-KE,10050015,10,270,9,1.111111,5.555556,4,13,0000-00-00,0000-00-00,7,2017,1
,Busia-KE,10050016,9,266,8.866667,1.015038,5.075188,4,12,0000-00-00,0000-00-00,7,2017,1
,Busia-KE,10050017,7,181,6.033333,1.160221,5.801105,3,11,0000-00-00,0000-00-00,7,2017,1
,Kakamega,10050018,10,332,11.06667,0.9036145,4.518072,4,14,0000-00-00,0000-00-00,9,2017,1
,Busia-KE,10050019,18,637,21.23333,0.8477237,4.238619,6,21,0000-00-00,0000-00-00,9,2017,1
,Busia-KE,10050020,10,421,14.03333,0.712589,3.562945,5,14,0000-00-00,04/07/2043,12,2017,1
,Busia-KE,10050021,6,268,8.933333,0.6716418,3.358209,3,9,0000-00-00,02/06/2043,11,2017,1
,Busia-KE,10050022,12,548,18.26667,0.6569343,3.284672,5,15,0000-00-00,02/06/2043,11,2017,1
,Yala,10050023,16,896,29.86667,0.5357143,2.678571,5,19,03/05/2042,0000-00-00,8,2017,1
,Yala,10050024,20,939,31.3,0.6389776,3.194888,6,24,03/05/2042,0000-00-00,9,2017,1
,Yala,10050025,28,1210,40.33333,0.6942149,3.471074,8,32,0000-00-00,09/01/2043,10,2017,1
,Yala,10050026,16,900,30,0.5333334,2.666667,5,19,08/04/2042,0000-00-00,8,2017,1
,Yala,10050027,20,896,29.86667,0.6696429,3.348214,6,24,03/05/2042,0000-00-00,8,2017,1
,Yala,10050028,12,807,26.9,0.4460967,2.230483,4,16,03/05/2042,0000-00-00,5,2017,1
,Busia-KE,10050031,4,667,22.23333,0.17991,0.8995503,4,12,05/11/2042,2043-06-00,11,2017,1
,Busia-KE,10050032,14,953,31.76667,0.4407136,2.203568,5,18,07/10/2042,2043-06-00,11,2017,1
,Kakamega,10050033,3,84,2.8,1.071429,5.357142,2,5,0000-00-00,2043-00-07,9,2017,1
,Busia-KE,10050034,5,626,20.86667,0.2396166,1.198083,4,9,0000-00-00,2043-00-07,9,2017,1
,Busia-KE,10050035,4,834,27.8,0.1438849,0.7194245,3,8,0000-00-00,06/02/2043,10,2017,1
,Busia-KE,10050036,13,821,27.36667,0.4750305,2.375152,5,15,0000-00-00,06/02/2043,10,2017,1
,Busia-KE,10050037,13,632,21.06667,0.6170886,3.085443,5,17,0000-00-00,07/02/2043,10,2017,1
,Busia-KE,10050038,14,840,28,0.5,2.5,5,18,0000-00-00,05/04/2043,11,2017,1
,Busia-KE,10050039,3,112,3.733333,0.8035714,4.017857,2,7,0000-00-00,07/02/2043,10,2017,1
,Busia-KE,10050040,9,632,21.06667,0.4272152,2.136076,4,12,0000-00-00,07/02/2043,10,2017,1
,Busia-KE,10050041,10,420,14,0.7142857,3.571429,4,12,0000-00-00,2043-00-00,9,2017,1
,Busia-KE,10050042,8,380,12.66667,0.6315789,3.157895,4,12,0000-00-00,0000-00-00,6,2017,1
,Busia-KE,10050043,16,539,17.96667,0.890538,4.45269,6,18,0000-00-00,0000-00-00,9,2017,1
,Busia-KE,10050044,15,540,18,0.8333333,4.166667,6,17,0000-00-00,2043-00-00,9,2017,1
,Busia-KE,10050045,11,826,27.53333,0.3995157,1.997579,6,18,0000-00-00,05/05/2043,11,2017,1
,Busia-KE,10050047,4,112,3.733333,1.071429,5.357142,2,8,0000-00-00,0000-00-00,4,2017,1
,Kakamega,10050048,4,266,8.866667,0.4511278,2.255639,2,8,0000-00-00,05/05/2043,11,2017,1
,Busia-KE,10050049,7,704,23.46667,0.2982954,1.491477,4,11,0000-00-00,08/03/2043,10,2017,1
,Busia-KE,10050050,7,166,5.533333,1.26506,6.325302,3,11,0000-00-00,0000-00-00,6,2017,1
,Busia-KE,10050051,12,452,15.06667,0.7964602,3.982301,4,16,0000-00-00,08/03/2043,10,2017,1
,Busia-KE,10050052,12,659,21.96667,0.5462822,2.731411,4,16,0000-00-00,0000-00-00,5,2017,1
,Busia-KE,10050053,8,829,27.63333,0.2895054,1.447527,3,12,0000-00-00,05/05/2043,11,2017,1
,Yala,10050054,12,917,30.56667,0.3925845,1.962923,4,15,08/04/2042,0000-00-00,8,2017,1
,Busia-KE,10050055,4,240,8,0.5,2.5,2,8,0000-00-00,08/04/2042,2,2015,1
,Yala,10050056,23,1157,38.56667,0.5963699,2.98185,7,26,0000-00-00,0000-00-00,8,2017,1
,Yala,10050057,12,917,30.56667,0.3925845,1.962923,4,16,08/04/2042,0000-00-00,8,2017,1
,Yala,10050058,4,238,7.933333,0.5042017,2.521008,2,7,0000-00-00,07/04/2042,2,2015,1
,Yala,10050059,12,867,28.9,0.4152249,2.076125,4,15,08/04/2042,0000-00-00,6,2017,1
,Yala,10050060,8,915,30.5,0.2622951,1.311475,3,11,09/06/2042,0000-00-00,9,2017,1
,Yala,10050061,16,1104,36.8,0.4347826,2.173913,5,20,0000-00-00,0000-00-00,7,2017,1
,Yala,10050062,12,923,30.76667,0.3900325,1.950163,4,16,09/06/2042,0000-00-00,9,2017,1
